pattern,feature,mae,rmse,robust_range,normalized_rmse,pearson,spearman
0,G_max_diff,0.038676642694554175,0.08368458311252298,0.8084704875946045,0.1035097562577762,0.9736676262512687,0.9442402897025786
0,G_max_diff_r,0.1413699687764165,0.3205071496976931,2.380000114440918,0.13466686314550155,0.9540152196056764,0.9331241273918875
0,G_min_diff,0.04777977861800764,0.0989643384827829,1.0,0.0989643384827829,0.9761128170321431,0.9281337506796579
0,G_zero_diff_r,0.5659053282288369,1.2035378917571038,5.300000190734863,0.22708261291406276,0.8346294328156545,0.769281599737091
0,F_min_diff,0.02134873413524474,0.0290837193083785,0.8241180181503296,0.035290721313986924,0.9943319003030706,0.9889289943589933
0,F_min_diff_F,0.028878464944227744,0.04332859600813563,0.7054548859596252,0.06141937191234567,0.984837174105833,0.9808224355110888
0,Tm,3.9461485654246644,10.679930875128298,54.85258102416992,0.19470243105647764,0.7267168408146902,0.6855741449464132
0,Rm,0.5483547656331211,1.47895970141663,7.599999904632568,0.1945999631546222,0.6910322327490949,0.6978915294825836
0,Rdm,0.38572187500540167,1.2034863443117911,2.81500244140625,0.42752586165096995,0.6461152805208595,0.7842712870632642
0,Rddm,0.5469839543220587,1.4737308731050676,7.600000381469727,0.19391194725441185,0.6912641166219121,0.7305706089846749
0,Tdm,0.8175713135497062,1.8900587209345143,7.239175796508789,0.26108755665887073,0.5893576654118348,0.4099317272682632
0,GXGH_min_diff,0.062106738001602935,0.12307230605983498,0.8224787712097168,0.14963584516451164,0.8873941733726519,0.8699774135654804
0,GXGH_95diff_r,0.1463472014220315,0.28506974113623035,2.990000009536743,0.09534105024313955,0.9632976742408107,0.9655630690155338
0,GXGH_FWHM,0.14317808533087373,0.23260855149002088,1.5429999828338623,0.15075084515737566,0.8897951196742288,0.8309980497667668
1,G_max_diff,0.028193147692945786,0.04606922585018731,0.6101800799369812,0.07550103217880415,0.9804487326800485,0.9769309701855632
1,G_max_diff_r,0.25506600979861105,0.5547788221187089,2.759999990463257,0.2010068203027751,0.8016859305362729,0.8030819429434469
1,G_min_diff,0.042498565204482475,0.06821129006603711,1.0,0.06821129006603711,0.9777270742488275,0.9789948698070137
1,G_zero_diff_r,0.6196108573931269,1.0561127664938348,4.599999904632568,0.2295897366063518,0.8014971846966232,0.7903776280072199
1,F_min_diff,0.01659357520929916,0.021813491074287324,0.5916181802749634,0.03687089376487582,0.9924947768955521,0.9915092468795305
1,F_min_diff_F,0.05589166370918974,0.09715230253233938,0.6710706949234009,0.14477208328018076,0.8778770426300931,0.8864816188060943
1,Tm,2.5660833373694913,5.57068710332183,36.29484176635742,0.15348426476638993,0.8548375038697764,0.7185252793318626
1,Rm,0.7044093144941144,1.4873481395771542,7.849999904632568,0.18947110288490784,0.8202047988770447,0.7074018842798366
1,Rdm,0.5229929453344084,1.2010661921217147,4.015002250671387,0.2991445875082319,0.6827568081404832,0.7443749055008724
1,Rddm,0.7022638727212325,1.48430513801772,7.800000190734863,0.1902955258617601,0.8194443856953002,0.715718590045226
1,Tdm,0.98214638568969,1.940933221575362,12.289773941040039,0.15793075046676636,0.7788664385338402,0.5504509995263546
1,GXGH_min_diff,0.032151000494195614,0.04710777616782003,0.44048988819122314,0.10694405803787681,0.945110478860117,0.9449367963451448
1,GXGH_95diff_r,0.08137869951315224,0.1319782927301603,1.559999942779541,0.08460147280198423,0.9704567333970782,0.9621303781292246
1,GXGH_FWHM,0.16349462352809496,0.23854089086397273,1.3199999332427979,0.18071280524837424,0.853828761489862,0.8277203896198454
4,G_max_diff,0.02317505652899854,0.03218758036019061,0.24323084950447083,0.13233346191803258,0.9039116160359166,0.9086261158159762
4,G_max_diff_r,0.14793600607663393,0.27017456997190337,1.0600000619888306,0.25488165487932796,0.7053239770250264,0.7156720384171918
4,G_min_diff,0.0180738228241637,0.03256509236170913,0.17037361860275269,0.19113928922081946,0.8855192208333077,0.8356137937627934
4,G_zero_diff_r,0.7319999407118303,1.1248620553871944,4.460000038146973,0.25221122102378923,0.7720686834762885,0.7473609716740889
4,F_min_diff,0.01538432258598732,0.020335088208942562,0.24082832038402557,0.08443811000515292,0.9616277332168207,0.9564108721995904
4,F_min_diff_F,0.1400676802295493,0.22961506697811068,0.7426948547363281,0.30916474715531556,0.3789725060839496,0.5031241741922494
4,Tm,0.6814815028519661,1.476564975195975,4.923366069793701,0.2999096460153827,0.5875459197141484,0.6589428240735358
4,Rm,0.4083233817364089,0.9275939359492132,2.75,0.3373068857997139,0.5938898343665078,0.6162781112065282
4,Rdm,0.14812683989293873,0.3439260986537384,1.0500000715255737,0.3275486430720322,0.5842903767526734,0.640313731530017
4,Rddm,0.41007160814478993,0.9286517550229699,2.75,0.33769154728108,0.5934258879551284,0.6201849343937885
4,Tdm,0.4081682817063665,0.9613331262512573,2.268064498901367,0.42385616754590516,0.5213776212590294,0.6417994024325151
4,GXGH_min_diff,0.01952684768184554,0.026353505830106587,0.1951562464237213,0.1350379827089322,0.8978465512509973,0.8917915999084457
4,GXGH_95diff_r,0.04621751140803099,0.07222006382298601,0.5400000810623169,0.13374083885489585,0.8901108688331193,0.8848948909354576
4,GXGH_FWHM,0.17710756231099367,0.22991570723550217,0.9700000286102295,0.23702649531352551,0.5765592417887256,0.5767487976289644
