bce,best_epoch,brier,dice_top10,ece_10,inference_seconds,mae,median_centroid_error,median_component_volume_relative_error,model,parameter_count,pattern,pearson,pr_auc_top10,prediction_component_count,prediction_top10_threshold,rmse,spearman,target_component_count,target_component_recovery_fraction,target_top10_threshold,total_model_seconds,training_seconds
0.060427543008211716,50,0.00014474985410867827,0.9609085648148148,0.0029001604527913527,0.4794595420007681,0.006726575746387509,0.19190055865459327,0.053202803052883406,coordinate,33665,0,0.9976022580020459,0.9788418443191756,2,0.031179642677307214,0.012031203352478016,0.39093311135065084,21,0.09523809523809523,0.027068330347538076,7.313832624999122,5.122532165003577
0.06132877833978752,75,0.0004688220813794262,0.934837962962963,0.0016195480220688434,0.5521993340007612,0.008179182349462659,8.957592098682106,0.9686408058528062,local,35457,0,0.9920190729015483,0.9721358203066724,8,0.03379619196057337,0.02165229967877376,0.4475518382471242,21,0.09523809523809523,0.027068330347538076,11.456641042001138,8.150198040999385
0.2040928637728406,60,0.0036661752658178493,0.8688657407407407,0.008558361680504027,0.5004132499998377,0.02995147655458255,0.7694114939038464,0.14049267135236407,coordinate,33665,1,0.9563624115033977,0.9504930089924428,4,0.4093999683856972,0.06054894933702689,0.5896348277963913,5,1.0,0.38760536015033825,8.821931958000278,6.390934958000798
0.20810288598133012,150,0.005062133237286695,0.8308738425925926,0.005875552667307386,0.5825695420007833,0.03329191578270189,0.5250387701748185,0.3968253968253968,local,35457,1,0.9375269645238216,0.917119107357735,5,0.40403502881527115,0.07114866996147359,0.5940465078223414,5,1.0,0.38760536015033825,17.678047000001243,13.087922289014386
0.34359528103905973,70,0.008408363075655931,0.21461226851851853,0.02856256515076591,0.47869354199974623,0.06646651315115276,3.241419066688343,0.9937205651491365,coordinate,33665,4,0.538100352005607,0.2014148114715968,21,0.25602790713310253,0.09169712686696313,0.6465885703959041,60,0.55,0.25868999361991885,9.693503417000102,6.80643025101017
0.34252334895985953,115,0.006967795395162952,0.4021412037037037,0.022414832476358223,0.5719727499999863,0.05816941419990139,4.91917737663674,0.954951699337188,local,35457,4,0.5978667489997986,0.3583438991649298,72,0.24998493790626528,0.08347332145759477,0.6417180549214156,60,0.9,0.25868999361991885,16.451987417000055,11.64357079799629
