pattern,point_count,observation_count,target_point_count,observation_guest_count,coarse_feature_locations,interpolation_validation_locations,interpolation_pass,training_voxels,validation_voxels,target_seconds,feature_seconds,interpolation_seconds,total_preprocessing_seconds
0,216000,21600,194400,1037,3375,256,False,1382400,345600,0.137297834000492,720.562880208,0.7566552500002217,721.6313963749999
1,216000,21600,194400,2011,3375,256,False,1382400,345600,0.1278301249994911,657.3395539590001,0.7572882080003183,658.3908438749995
4,216000,21600,194400,2206,3375,256,False,1382400,345600,0.1293084999997518,665.949222792,0.7092362910007068,666.9511059999995
